"subjID","rt","win","trial_type","gain","loss","cert","gamble"
"ff1d7a9a28686c2b","2217.0","1.0","101","16.0","-5.0","0.0","1.0"
"ff1d7a9a28686c2b","1424.0","0.0","101","18.0","-6.0","0.0","1.0"
"ff1d7a9a28686c2b","1805.0","1.0","101","10.0","-5.0","0.0","1.0"
"ff1d7a9a28686c2b","1477.0","1.0","102","14.0","0.0","3.0","1.0"
"ff1d7a9a28686c2b","1257.0","1.0","102","12.0","0.0","4.0","1.0"
"ff1d7a9a28686c2b","1564.0","1.0","101","11.0","-5.0","0.0","1.0"
"ff1d7a9a28686c2b","1421.0","0.0","101","14.0","-4.0","0.0","1.0"
"ff1d7a9a28686c2b","1492.0","0.0","102","14.0","0.0","3.0","1.0"
"ff1d7a9a28686c2b","1196.0","0.0","102","20.0","0.0","7.0","0.0"
"ff1d7a9a28686c2b","1572.0","0.0","101","12.0","-5.0","0.0","1.0"
"ff1d7a9a28686c2b","1114.0","1.0","101","12.0","-3.0","0.0","1.0"
"ff1d7a9a28686c2b","3382.0","1.0","102","14.0","0.0","5.0","1.0"
"ff1d7a9a28686c2b","1194.0","1.0","102","18.0","0.0","5.0","1.0"
"ff1d7a9a28686c2b","1488.0","1.0","101","10.0","-6.0","0.0","0.0"
"ff1d7a9a28686c2b","1332.0","0.0","101","18.0","-2.0","0.0","1.0"
"ff1d7a9a28686c2b","1346.0","0.0","102","12.0","0.0","3.0","1.0"
"ff1d7a9a28686c2b","1814.0","0.0","102","12.0","0.0","5.0","0.0"
"ff1d7a9a28686c2b","1741.0","0.0","101","11.0","-8.0","0.0","0.0"
"ff1d7a9a28686c2b","2347.0","0.0","101","12.0","-5.0","0.0","1.0"
"ff1d7a9a28686c2b","1726.0","1.0","102","16.0","0.0","3.0","1.0"
"ff1d7a9a28686c2b","1484.0","0.0","101","12.0","-4.0","0.0","1.0"
"ff1d7a9a28686c2b","1233.0","1.0","102","16.0","0.0","4.0","1.0"
"ff1d7a9a28686c2b","1960.0","1.0","101","14.0","-2.0","0.0","1.0"
"ff1d7a9a28686c2b","1536.0","0.0","102","20.0","0.0","3.0","1.0"
"ff1d7a9a28686c2b","1770.0","0.0","102","16.0","0.0","7.0","0.0"
"ff1d7a9a28686c2b","2183.0","1.0","102","20.0","0.0","4.0","1.0"
"ff1d7a9a28686c2b","1738.0","1.0","102","20.0","0.0","6.0","1.0"
"ff1d7a9a28686c2b","1153.0","0.0","102","16.0","0.0","6.0","0.0"
"ff1d7a9a28686c2b","2161.0","1.0","101","14.0","-5.0","0.0","1.0"
"ff1d7a9a28686c2b","1628.0","1.0","102","12.0","0.0","3.0","1.0"
"ff1d7a9a28686c2b","3801.0","0.0","101","10.0","-10.0","0.0","0.0"
"ff1d7a9a28686c2b","1157.0","1.0","101","11.0","-2.0","0.0","1.0"
"ff1d7a9a28686c2b","2936.0","0.0","102","14.0","0.0","7.0","0.0"
"ff1d7a9a28686c2b","1209.0","0.0","102","12.0","0.0","7.0","0.0"
"ff1d7a9a28686c2b","1154.0","1.0","102","20.0","0.0","5.0","1.0"
"ff1d7a9a28686c2b","1957.0","1.0","101","10.0","-4.0","0.0","1.0"
"ff1d7a9a28686c2b","1607.0","0.0","101","13.0","-10.0","0.0","0.0"
"ff1d7a9a28686c2b","1512.0","0.0","101","12.0","-10.0","0.0","0.0"
"ff1d7a9a28686c2b","1056.0","0.0","101","11.0","-4.0","0.0","1.0"
"ff1d7a9a28686c2b","2075.0","1.0","101","14.0","-8.0","0.0","0.0"
"ff1d7a9a28686c2b","1462.0","0.0","101","14.0","-6.0","0.0","1.0"
"ff1d7a9a28686c2b","1121.0","1.0","101","18.0","-5.0","0.0","1.0"
"ff1d7a9a28686c2b","1605.0","0.0","101","13.0","-3.0","0.0","1.0"
"ff1d7a9a28686c2b","1216.0","1.0","101","11.0","-3.0","0.0","1.0"
