"subjID","rt","win","trial_type","gain","loss","cert","gamble"
"27902f23b60a7b76","2238.0","1.0","102","14.0","0.0","6.0","1.0"
"27902f23b60a7b76","1924.0","1.0","101","15.0","-5.0","0.0","1.0"
"27902f23b60a7b76","1415.0","0.0","101","13.0","-3.0","0.0","1.0"
"27902f23b60a7b76","2014.0","1.0","102","8.0","0.0","3.0","1.0"
"27902f23b60a7b76","1082.0","1.0","102","12.0","0.0","6.0","1.0"
"27902f23b60a7b76","1223.0","1.0","101","12.0","-3.0","0.0","1.0"
"27902f23b60a7b76","1115.0","0.0","102","14.0","0.0","4.0","1.0"
"27902f23b60a7b76","1124.0","0.0","102","12.0","0.0","3.0","1.0"
"27902f23b60a7b76","1712.0","0.0","101","20.0","-8.0","0.0","1.0"
"27902f23b60a7b76","1345.0","0.0","102","12.0","0.0","4.0","1.0"
"27902f23b60a7b76","1475.0","1.0","101","14.0","-2.0","0.0","1.0"
"27902f23b60a7b76","1723.0","0.0","101","13.0","-6.0","0.0","0.0"
"27902f23b60a7b76","1195.0","0.0","101","18.0","-3.0","0.0","1.0"
"27902f23b60a7b76","1370.0","0.0","101","20.0","-3.0","0.0","1.0"
"27902f23b60a7b76","3251.0","0.0","101","18.0","-10.0","0.0","0.0"
"27902f23b60a7b76","1689.0","1.0","101","20.0","-10.0","0.0","1.0"
"27902f23b60a7b76","1298.0","0.0","101","14.0","-3.0","0.0","1.0"
"27902f23b60a7b76","1219.0","0.0","101","20.0","-3.0","0.0","1.0"
"27902f23b60a7b76","1131.0","0.0","101","13.0","-4.0","0.0","0.0"
"27902f23b60a7b76","1624.0","1.0","101","14.0","-10.0","0.0","0.0"
"27902f23b60a7b76","1172.0","0.0","101","18.0","-2.0","0.0","1.0"
"27902f23b60a7b76","1032.0","1.0","101","14.0","-2.0","0.0","1.0"
"27902f23b60a7b76","1452.0","0.0","101","20.0","-6.0","0.0","0.0"
"27902f23b60a7b76","1423.0","1.0","102","6.0","0.0","5.0","1.0"
"27902f23b60a7b76","1186.0","0.0","101","15.0","-3.0","0.0","1.0"
"27902f23b60a7b76","1293.0","1.0","101","16.0","-5.0","0.0","0.0"
"27902f23b60a7b76","1535.0","1.0","101","15.0","-8.0","0.0","0.0"
"27902f23b60a7b76","898.0","0.0","101","20.0","-2.0","0.0","1.0"
"27902f23b60a7b76","1394.0","0.0","101","15.0","-5.0","0.0","0.0"
"27902f23b60a7b76","1149.0","0.0","101","15.0","-2.0","0.0","1.0"
"27902f23b60a7b76","1360.0","0.0","101","13.0","-10.0","0.0","0.0"
"27902f23b60a7b76","1525.0","1.0","102","8.0","0.0","3.0","0.0"
"27902f23b60a7b76","1227.0","0.0","102","6.0","0.0","3.0","0.0"
"27902f23b60a7b76","1317.0","1.0","101","18.0","-6.0","0.0","0.0"
"27902f23b60a7b76","1834.0","1.0","101","20.0","-6.0","0.0","1.0"
"27902f23b60a7b76","1364.0","1.0","102","12.0","0.0","7.0","0.0"
"27902f23b60a7b76","1175.0","0.0","101","18.0","-2.0","0.0","1.0"
"27902f23b60a7b76","1370.0","0.0","101","18.0","-5.0","0.0","0.0"
"27902f23b60a7b76","1377.0","0.0","101","13.0","-4.0","0.0","0.0"
"27902f23b60a7b76","1861.0","1.0","102","8.0","0.0","4.0","1.0"
"27902f23b60a7b76","1358.0","0.0","102","6.0","0.0","7.0","0.0"
"27902f23b60a7b76","1299.0","0.0","101","12.0","-8.0","0.0","0.0"
"27902f23b60a7b76","1275.0","0.0","101","16.0","-5.0","0.0","0.0"
"27902f23b60a7b76","1263.0","1.0","101","13.0","-8.0","0.0","0.0"
"27902f23b60a7b76","1176.0","0.0","101","18.0","-10.0","0.0","0.0"
"27902f23b60a7b76","1350.0","1.0","101","14.0","-4.0","0.0","1.0"
"27902f23b60a7b76","1512.0","1.0","101","15.0","-10.0","0.0","0.0"
"27902f23b60a7b76","1130.0","1.0","101","12.0","-6.0","0.0","0.0"
"27902f23b60a7b76","1443.0","1.0","102","12.0","0.0","5.0","1.0"
"27902f23b60a7b76","1397.0","1.0","101","12.0","-6.0","0.0","0.0"
"27902f23b60a7b76","1356.0","0.0","101","18.0","-4.0","0.0","1.0"
"27902f23b60a7b76","1175.0","0.0","101","15.0","-6.0","0.0","0.0"
"27902f23b60a7b76","1741.0","1.0","102","10.0","0.0","6.0","1.0"
"27902f23b60a7b76","1303.0","0.0","102","6.0","0.0","4.0","1.0"
"27902f23b60a7b76","1360.0","1.0","102","8.0","0.0","5.0","0.0"
"27902f23b60a7b76","1667.0","0.0","101","20.0","-2.0","0.0","1.0"
"27902f23b60a7b76","1461.0","1.0","101","20.0","-4.0","0.0","1.0"
"27902f23b60a7b76","1274.0","1.0","101","14.0","-10.0","0.0","0.0"
"27902f23b60a7b76","984.0","1.0","102","8.0","0.0","7.0","0.0"
"27902f23b60a7b76","1511.0","0.0","101","12.0","-10.0","0.0","0.0"
"27902f23b60a7b76","1267.0","0.0","101","15.0","-4.0","0.0","1.0"
"27902f23b60a7b76","1358.0","1.0","101","20.0","-8.0","0.0","0.0"
"27902f23b60a7b76","1172.0","0.0","101","16.0","-10.0","0.0","0.0"
"27902f23b60a7b76","1512.0","1.0","102","10.0","0.0","4.0","1.0"
"27902f23b60a7b76","1120.0","0.0","101","15.0","-8.0","0.0","0.0"
"27902f23b60a7b76","902.0","0.0","102","14.0","0.0","4.0","1.0"
"27902f23b60a7b76","1603.0","0.0","101","15.0","-10.0","0.0","0.0"
"27902f23b60a7b76","961.0","1.0","102","12.0","0.0","7.0","1.0"
"27902f23b60a7b76","1306.0","1.0","101","14.0","-3.0","0.0","1.0"
"27902f23b60a7b76","1366.0","0.0","101","18.0","-5.0","0.0","0.0"
"27902f23b60a7b76","1301.0","0.0","102","14.0","0.0","6.0","1.0"
"27902f23b60a7b76","1608.0","1.0","101","14.0","-5.0","0.0","0.0"
"27902f23b60a7b76","1563.0","0.0","102","6.0","0.0","5.0","0.0"
"27902f23b60a7b76","1591.0","0.0","102","10.0","0.0","7.0","0.0"
"27902f23b60a7b76","1408.0","0.0","101","20.0","-5.0","0.0","1.0"
"27902f23b60a7b76","1577.0","1.0","102","6.0","0.0","6.0","0.0"
"27902f23b60a7b76","1457.0","1.0","101","18.0","-4.0","0.0","1.0"
"27902f23b60a7b76","1376.0","0.0","102","8.0","0.0","7.0","0.0"
"27902f23b60a7b76","1395.0","0.0","102","8.0","0.0","6.0","0.0"
"27902f23b60a7b76","1816.0","0.0","101","13.0","-5.0","0.0","0.0"
"27902f23b60a7b76","1454.0","0.0","101","18.0","-8.0","0.0","0.0"
"27902f23b60a7b76","920.0","1.0","101","12.0","-2.0","0.0","1.0"
"27902f23b60a7b76","1363.0","0.0","102","6.0","0.0","4.0","0.0"
"27902f23b60a7b76","1390.0","1.0","101","12.0","-5.0","0.0","0.0"
"27902f23b60a7b76","1266.0","1.0","102","10.0","0.0","6.0","1.0"
"27902f23b60a7b76","1538.0","1.0","102","12.0","0.0","5.0","1.0"
"27902f23b60a7b76","1166.0","0.0","101","14.0","-6.0","0.0","0.0"
"27902f23b60a7b76","1811.0","1.0","102","12.0","0.0","6.0","1.0"
"27902f23b60a7b76","1210.0","1.0","101","15.0","-3.0","0.0","1.0"
"27902f23b60a7b76","1297.0","1.0","102","14.0","0.0","3.0","1.0"
"27902f23b60a7b76","1427.0","1.0","101","12.0","-4.0","0.0","1.0"
"27902f23b60a7b76","1798.0","1.0","101","16.0","-6.0","0.0","0.0"
"27902f23b60a7b76","1465.0","1.0","102","8.0","0.0","4.0","1.0"
"27902f23b60a7b76","1337.0","1.0","102","14.0","0.0","7.0","1.0"
"27902f23b60a7b76","1188.0","1.0","102","6.0","0.0","6.0","0.0"
"27902f23b60a7b76","1245.0","0.0","101","12.0","-3.0","0.0","1.0"
