"subjID","gain","loss","cert","gamble"
"a0b880b91c2982dc","18.0","0.0","4.0","1.0"
"a0b880b91c2982dc","14.0","-6.0","0.0","1.0"
"a0b880b91c2982dc","15.0","-6.0","0.0","1.0"
"a0b880b91c2982dc","24.0","0.0","5.0","0.0"
"a0b880b91c2982dc","14.0","-3.0","0.0","1.0"
"a0b880b91c2982dc","13.0","-6.0","0.0","1.0"
"a0b880b91c2982dc","16.0","0.0","7.0","0.0"
"a0b880b91c2982dc","16.0","0.0","4.0","0.0"
"a0b880b91c2982dc","15.0","-4.0","0.0","1.0"
"a0b880b91c2982dc","17.0","-3.0","0.0","1.0"
"a0b880b91c2982dc","20.0","0.0","6.0","0.0"
"a0b880b91c2982dc","15.0","-10.0","0.0","0.0"
"a0b880b91c2982dc","12.0","-3.0","0.0","1.0"
"a0b880b91c2982dc","22.0","0.0","7.0","0.0"
"a0b880b91c2982dc","19.0","-3.0","0.0","1.0"
"a0b880b91c2982dc","17.0","-4.0","0.0","1.0"
"a0b880b91c2982dc","13.0","-6.0","0.0","1.0"
"a0b880b91c2982dc","17.0","-2.0","0.0","1.0"
"a0b880b91c2982dc","12.0","-3.0","0.0","1.0"
"a0b880b91c2982dc","12.0","-10.0","0.0","0.0"
"a0b880b91c2982dc","24.0","0.0","6.0","0.0"
"a0b880b91c2982dc","13.0","-2.0","0.0","1.0"
"a0b880b91c2982dc","14.0","-4.0","0.0","1.0"
"a0b880b91c2982dc","24.0","0.0","6.0","0.0"
"a0b880b91c2982dc","11.0","-8.0","0.0","1.0"
"a0b880b91c2982dc","11.0","-3.0","0.0","1.0"
"a0b880b91c2982dc","11.0","-10.0","0.0","0.0"
"a0b880b91c2982dc","18.0","0.0","7.0","0.0"
"a0b880b91c2982dc","20.0","0.0","3.0","1.0"
"a0b880b91c2982dc","13.0","-2.0","0.0","1.0"
"a0b880b91c2982dc","17.0","-5.0","0.0","1.0"
"a0b880b91c2982dc","19.0","-8.0","0.0","0.0"
"a0b880b91c2982dc","12.0","-5.0","0.0","1.0"
