"subjID","gain","loss","cert","gamble"
"efe8a903afdceede","14.0","0.0","7.0","0.0"
"efe8a903afdceede","14.0","-5.0","0.0","0.0"
"efe8a903afdceede","14.0","0.0","4.0","1.0"
"efe8a903afdceede","21.0","-4.0","0.0","1.0"
"efe8a903afdceede","16.0","-8.0","0.0","0.0"
"efe8a903afdceede","16.0","-4.0","0.0","0.0"
"efe8a903afdceede","17.0","-8.0","0.0","0.0"
"efe8a903afdceede","19.0","-8.0","0.0","0.0"
"efe8a903afdceede","19.0","-3.0","0.0","1.0"
"efe8a903afdceede","10.0","0.0","6.0","0.0"
"efe8a903afdceede","8.0","0.0","7.0","0.0"
"efe8a903afdceede","8.0","0.0","6.0","0.0"
"efe8a903afdceede","6.0","0.0","3.0","1.0"
"efe8a903afdceede","14.0","-5.0","0.0","0.0"
"efe8a903afdceede","16.0","-8.0","0.0","0.0"
"efe8a903afdceede","12.0","0.0","7.0","1.0"
"efe8a903afdceede","19.0","-6.0","0.0","0.0"
"efe8a903afdceede","13.0","-5.0","0.0","0.0"
"efe8a903afdceede","13.0","-4.0","0.0","0.0"
"efe8a903afdceede","14.0","-4.0","0.0","0.0"
"efe8a903afdceede","19.0","-3.0","0.0","0.0"
"efe8a903afdceede","13.0","-2.0","0.0","0.0"
"efe8a903afdceede","14.0","0.0","5.0","1.0"
"efe8a903afdceede","17.0","-4.0","0.0","0.0"
"efe8a903afdceede","17.0","-5.0","0.0","0.0"
"efe8a903afdceede","10.0","0.0","3.0","0.0"
"efe8a903afdceede","14.0","-10.0","0.0","0.0"
"efe8a903afdceede","10.0","0.0","6.0","0.0"
"efe8a903afdceede","21.0","-10.0","0.0","0.0"
"efe8a903afdceede","16.0","-5.0","0.0","0.0"
"efe8a903afdceede","16.0","-4.0","0.0","0.0"
"efe8a903afdceede","14.0","-6.0","0.0","0.0"
"efe8a903afdceede","17.0","-8.0","0.0","0.0"
"efe8a903afdceede","16.0","-6.0","0.0","0.0"
"efe8a903afdceede","14.0","0.0","7.0","0.0"
"efe8a903afdceede","19.0","-5.0","0.0","0.0"
"efe8a903afdceede","8.0","0.0","7.0","0.0"
"efe8a903afdceede","12.0","0.0","5.0","0.0"
"efe8a903afdceede","19.0","-8.0","0.0","0.0"
"efe8a903afdceede","17.0","-5.0","0.0","0.0"
"efe8a903afdceede","15.0","-10.0","0.0","0.0"
"efe8a903afdceede","16.0","-5.0","0.0","0.0"
"efe8a903afdceede","10.0","0.0","4.0","1.0"
"efe8a903afdceede","8.0","0.0","4.0","1.0"
"efe8a903afdceede","13.0","-10.0","0.0","0.0"
"efe8a903afdceede","17.0","-3.0","0.0","1.0"
"efe8a903afdceede","21.0","-8.0","0.0","0.0"
"efe8a903afdceede","13.0","-3.0","0.0","1.0"
"efe8a903afdceede","21.0","-5.0","0.0","0.0"
"efe8a903afdceede","14.0","0.0","4.0","1.0"
"efe8a903afdceede","10.0","0.0","7.0","1.0"
"efe8a903afdceede","6.0","0.0","4.0","1.0"
"efe8a903afdceede","12.0","0.0","4.0","1.0"
"efe8a903afdceede","14.0","0.0","3.0","1.0"
"efe8a903afdceede","15.0","-5.0","0.0","0.0"
"efe8a903afdceede","14.0","-2.0","0.0","1.0"
"efe8a903afdceede","14.0","0.0","5.0","0.0"
"efe8a903afdceede","21.0","-4.0","0.0","1.0"
"efe8a903afdceede","15.0","-8.0","0.0","0.0"
"efe8a903afdceede","12.0","0.0","6.0","0.0"
"efe8a903afdceede","12.0","0.0","4.0","0.0"
"efe8a903afdceede","12.0","0.0","5.0","0.0"
"efe8a903afdceede","13.0","-3.0","0.0","1.0"
"efe8a903afdceede","16.0","-10.0","0.0","0.0"
"efe8a903afdceede","21.0","-10.0","0.0","0.0"
"efe8a903afdceede","10.0","0.0","4.0","0.0"
"efe8a903afdceede","13.0","-6.0","0.0","0.0"
"efe8a903afdceede","10.0","0.0","5.0","0.0"
"efe8a903afdceede","6.0","0.0","6.0","0.0"
"efe8a903afdceede","6.0","0.0","5.0","0.0"
"efe8a903afdceede","6.0","0.0","6.0","0.0"
"efe8a903afdceede","14.0","-3.0","0.0","1.0"
"efe8a903afdceede","15.0","-10.0","0.0","0.0"
"efe8a903afdceede","10.0","0.0","3.0","1.0"
"efe8a903afdceede","6.0","0.0","7.0","0.0"
"efe8a903afdceede","6.0","0.0","5.0","0.0"
"efe8a903afdceede","19.0","-6.0","0.0","0.0"
"efe8a903afdceede","15.0","-2.0","0.0","1.0"
"efe8a903afdceede","12.0","0.0","7.0","0.0"
"efe8a903afdceede","13.0","-4.0","0.0","0.0"
"efe8a903afdceede","17.0","-6.0","0.0","0.0"
"efe8a903afdceede","17.0","-6.0","0.0","0.0"
"efe8a903afdceede","14.0","-6.0","0.0","0.0"
"efe8a903afdceede","21.0","-5.0","0.0","0.0"
"efe8a903afdceede","14.0","0.0","6.0","0.0"
"efe8a903afdceede","17.0","-4.0","0.0","1.0"
"efe8a903afdceede","15.0","-5.0","0.0","0.0"
"efe8a903afdceede","8.0","0.0","6.0","0.0"
"efe8a903afdceede","15.0","-4.0","0.0","1.0"
"efe8a903afdceede","19.0","-10.0","0.0","0.0"
"efe8a903afdceede","21.0","-3.0","0.0","0.0"
"efe8a903afdceede","19.0","-5.0","0.0","0.0"
"efe8a903afdceede","17.0","-3.0","0.0","0.0"
"efe8a903afdceede","13.0","-5.0","0.0","0.0"
"efe8a903afdceede","15.0","-3.0","0.0","1.0"
"efe8a903afdceede","13.0","-10.0","0.0","0.0"
"efe8a903afdceede","14.0","-8.0","0.0","0.0"
"efe8a903afdceede","15.0","-6.0","0.0","0.0"
"efe8a903afdceede","8.0","0.0","5.0","0.0"
"efe8a903afdceede","17.0","-10.0","0.0","0.0"
"efe8a903afdceede","17.0","-2.0","0.0","1.0"
"efe8a903afdceede","8.0","0.0","3.0","1.0"
"efe8a903afdceede","19.0","-10.0","0.0","0.0"
"efe8a903afdceede","13.0","-8.0","0.0","0.0"
"efe8a903afdceede","17.0","-10.0","0.0","0.0"
"efe8a903afdceede","10.0","0.0","5.0","1.0"
"efe8a903afdceede","19.0","-4.0","0.0","0.0"
"efe8a903afdceede","8.0","0.0","3.0","1.0"
"efe8a903afdceede","15.0","-6.0","0.0","0.0"
"efe8a903afdceede","15.0","-3.0","0.0","0.0"
"efe8a903afdceede","19.0","-2.0","0.0","1.0"
"efe8a903afdceede","6.0","0.0","3.0","1.0"
"efe8a903afdceede","12.0","0.0","3.0","0.0"
"efe8a903afdceede","16.0","-2.0","0.0","0.0"
"efe8a903afdceede","14.0","-4.0","0.0","0.0"
"efe8a903afdceede","13.0","-6.0","0.0","0.0"
"efe8a903afdceede","13.0","-8.0","0.0","0.0"
"efe8a903afdceede","21.0","-8.0","0.0","0.0"
"efe8a903afdceede","14.0","0.0","3.0","1.0"
"efe8a903afdceede","8.0","0.0","5.0","0.0"
"efe8a903afdceede","16.0","-2.0","0.0","0.0"
"efe8a903afdceede","14.0","-8.0","0.0","0.0"
"efe8a903afdceede","14.0","0.0","6.0","1.0"
"efe8a903afdceede","19.0","-4.0","0.0","0.0"
"efe8a903afdceede","16.0","-6.0","0.0","0.0"
"efe8a903afdceede","21.0","-6.0","0.0","1.0"
"efe8a903afdceede","21.0","-3.0","0.0","1.0"
"efe8a903afdceede","14.0","-3.0","0.0","0.0"
"efe8a903afdceede","16.0","-10.0","0.0","0.0"
"efe8a903afdceede","13.0","-2.0","0.0","0.0"
"efe8a903afdceede","6.0","0.0","7.0","0.0"
"efe8a903afdceede","15.0","-8.0","0.0","0.0"
"efe8a903afdceede","16.0","-3.0","0.0","0.0"
"efe8a903afdceede","14.0","-2.0","0.0","1.0"
"efe8a903afdceede","8.0","0.0","4.0","1.0"
"efe8a903afdceede","14.0","-10.0","0.0","0.0"
"efe8a903afdceede","17.0","-2.0","0.0","1.0"
"efe8a903afdceede","10.0","0.0","7.0","1.0"
"efe8a903afdceede","19.0","-2.0","0.0","1.0"
"efe8a903afdceede","21.0","-2.0","0.0","0.0"
"efe8a903afdceede","21.0","-6.0","0.0","0.0"
"efe8a903afdceede","12.0","0.0","6.0","0.0"
"efe8a903afdceede","15.0","-2.0","0.0","1.0"
"efe8a903afdceede","12.0","0.0","3.0","1.0"
"efe8a903afdceede","21.0","-2.0","0.0","1.0"
"efe8a903afdceede","16.0","-3.0","0.0","0.0"
"efe8a903afdceede","15.0","-4.0","0.0","0.0"
"efe8a903afdceede","6.0","0.0","4.0","1.0"
"739442e141b9639a","18.0","-4.0","0.0","1.0"
"739442e141b9639a","16.0","0.0","5.0","0.0"
"739442e141b9639a","11.0","-8.0","0.0","0.0"
"739442e141b9639a","14.0","-10.0","0.0","0.0"
"739442e141b9639a","13.0","-4.0","0.0","0.0"
"739442e141b9639a","11.0","-2.0","0.0","1.0"
"739442e141b9639a","14.0","-8.0","0.0","0.0"
"739442e141b9639a","10.0","-2.0","0.0","1.0"
"739442e141b9639a","14.0","-4.0","0.0","0.0"
"739442e141b9639a","12.0","-3.0","0.0","0.0"
"739442e141b9639a","10.0","-8.0","0.0","1.0"
"739442e141b9639a","8.0","0.0","3.0","0.0"
"739442e141b9639a","16.0","-3.0","0.0","1.0"
"739442e141b9639a","18.0","-8.0","0.0","0.0"
"739442e141b9639a","12.0","-8.0","0.0","0.0"
"739442e141b9639a","16.0","-6.0","0.0","1.0"
"739442e141b9639a","11.0","-6.0","0.0","1.0"
"739442e141b9639a","12.0","-5.0","0.0","1.0"
"739442e141b9639a","13.0","-10.0","0.0","1.0"
"739442e141b9639a","10.0","0.0","5.0","0.0"
"739442e141b9639a","18.0","-5.0","0.0","0.0"
